Restaurant,Google Rating (out of 5),Number of Ratings,Location,Address,Zip,Lat,Lon
1500 Ocean,4.1,76,Coronado,1500 Orange Ave,92118,32.681261,-117.17992
608 Restaurant,4.6,106,Oceanside,608 Ocean Ave,92054,33.2,-117.38
Pokewan,4.7,24,Del Mar,12925 El Camino Real,92130,32.952013,-117.23253
Havana 1920,4.3,203,Gaslamp Quarter,548 Fifth Ave,92101,32.71111,-117.16041
Lionfish Modern Coastal Cuisine,4.4,186,Gaslamp Quarter,435 Fifth Ave,92101,32.71154,-117.16014
Born & Raised,4.3,25,Little Italy,1909 India St,92101,32.724682,-117.168381
Hundred Proof,4.5,214,Normal Heights,4130 Park Blvd,92103,32.75308,-117.14669
Antique Row Café,4.6,358,North Park,3002 Adams Ave,92116,32.76307,-117.12998
Bobboi Natural Gelato,4.8,758,La Jolla,8008 Girard Ave,92037,32.84812,-117.27449
Juniper & Ivy,4.6,790,Little Italy,2228 Kettner Blvd,92101,32.72749,-117.1713
